family,level,mean_dice,std_dice,min_dice,max_dice,n
noise,sigma5,0.5136719744449857,0.22504076244576807,0.0,0.9671691792278607,300
noise,sigma15,0.5157730985931368,0.2273399210914674,0.0,0.962640099624403,300
noise,sigma30,0.5012810705288224,0.21565734302310424,0.0,0.9627851140398392,300
contrast,alpha0.9,0.5269389855825453,0.22303681000424957,0.0,0.9623430962285575,300
contrast,alpha0.7,0.5301161776129232,0.22332237092307264,0.004210526315700831,0.9623430962285575,300
contrast,alpha0.5,0.5196072842913224,0.22626691267738175,0.0,0.9624776652712181,300
resolution,scale0.75,0.5188986313122931,0.22621316063062036,0.0,0.9640571147202297,300
resolution,scale0.5,0.5169911833045259,0.22779766816366123,0.0,0.9671052631563041,300
resolution,scale0.25,0.4910963726794582,0.225840621671913,0.0,0.9537409493142524,300
