condition,Mean_Dice,Mean_IoU,Mean_Delta_Dice,Mean_Delta_IoU,Failure_Rate_05
gamma_0.8,0.9133682468486751,0.8507653217969957,-0.001108384851408484,-0.0024054228564583074,0.005708848715509039
contrast_1.2,0.913863150171194,0.8527900008885448,-0.0006134815288896196,-0.00038074376490926555,0.007611798287345386
clean,0.9144766317000836,0.8531707446534541,0.0,0.0,0.006660323501427212
contrast_0.8,0.9149716217395,0.8534056131164598,0.0004949900394162561,0.00023486846300561017,0.005708848715509039
down_up_0.25,0.915145571829146,0.852306191075027,0.0006689401290622886,-0.0008645535784269697,0.003805899143672693
gamma_1.2,0.9171618234254623,0.8569793668606172,0.002685191725378607,0.0038086222071630053,0.005708848715509039
noise_sigma10,0.9179949399894478,0.8568122423939202,0.003518308289364139,0.0036414977404661164,0.003805899143672693
noise_sigma25,0.9188707332611644,0.8579671401382002,0.004394101561080768,0.004796395484746062,0.003805899143672693
down_up_0.5,0.9201996378550341,0.8614409138593196,0.0057230061549505265,0.008270169205865593,0.004757373929590866
blur_k3,0.9202173728283513,0.8608411814184433,0.005740741128267588,0.007670436764989302,0.003805899143672693
blur_k7,0.9220773989915357,0.8638261821830302,0.007600767291452119,0.010655437529576178,0.003805899143672693
